date,comunidad,var,name,value
1999-04-01,Total España,CONSUMO X CAPITA,BERBERECHOS,0.010978872189113205
1999-04-01,Total España,CONSUMO X CAPITA,CABALLA FRESCA,0.02526742059731078
1999-04-01,Total España,CONSUMO X CAPITA,CALAMAR Y PULPO FR,0.11823759397183568
1999-04-01,Total España,CONSUMO X CAPITA,CALAMARES,0.007460179616347451
1999-04-01,Total España,CONSUMO X CAPITA,CALAMARES CONGELAD,0.018309732334837642
1999-04-01,Total España,CONSUMO X CAPITA,"CALAMARES,PULPO",0.14142537703575542
1999-04-01,Total España,CONSUMO X CAPITA,CHICHARRO/CABALLA,0.005784540119088773
1999-04-01,Total España,CONSUMO X CAPITA,CONS.PESCADO/MOLUSCO,0.27270544110583206
1999-04-01,Total España,CONSUMO X CAPITA,GAMBAS/LANG.COCIDO,0.007466194475446196
1999-04-01,Total España,CONSUMO X CAPITA,GAMBAS/LANG.CONG.,0.0446092025058414
1999-04-01,Total España,CONSUMO X CAPITA,GAMBAS/LANG.FRESCO,0.033317307024464345
1999-04-01,Total España,CONSUMO X CAPITA,GAMBAS/LANGOSTINOS,0.08539270400575193
1999-04-01,Total España,CONSUMO X CAPITA,LENGUADO,0.10331999154956105
1999-04-01,Total España,CONSUMO X CAPITA,LENGUADO CONGELADO,0.01899843370164393
1999-04-01,Total España,CONSUMO X CAPITA,LENGUADO FRESCO,0.08432155784791712
1999-04-01,Total España,CONSUMO X CAPITA,MARISCO/MOLUSC COCI,0.014696305731266655
1999-04-01,Total España,CONSUMO X CAPITA,MARISCO/MOLUSC CONG,0.09495883616404743
1999-04-01,Total España,CONSUMO X CAPITA,MARISCO/MOLUSC FRES,0.2974691172536229
1999-04-01,Total España,CONSUMO X CAPITA,MARISCO/MOLUSCO/CRUS,0.4071242591489371
1999-04-01,Total España,CONSUMO X CAPITA,MEJILLON,0.09102311336043538
1999-04-01,Total España,CONSUMO X CAPITA,MEJILLON CONGELADO,0.003382606385656651
1999-04-01,Total España,CONSUMO X CAPITA,MEJILLON FRESCO,0.08764050697477872
1999-04-01,Total España,CONSUMO X CAPITA,MEJILLONES,0.020709410496107736
1999-04-01,Total España,CONSUMO X CAPITA,MERLUZA/PESCAD,0.31619738353408156
1999-04-01,Total España,CONSUMO X CAPITA,MERLUZA/PESCAD.CON,0.1341228368516209
1999-04-01,Total España,CONSUMO X CAPITA,MERLUZA/PESCAD.FRE,0.18207454668246065
1999-04-01,Total España,CONSUMO X CAPITA,OTRAS CONS.PESCADO,0.04958950583960216
1999-04-01,Total España,CONSUMO X CAPITA,OTROS MARISC.COCI.,0.0011330490827260666
1999-04-01,Total España,CONSUMO X CAPITA,OTROS MARISC.CONG.,0.02255772657332621
1999-04-01,Total España,CONSUMO X CAPITA,OTROS MARISC.FRES.,0.016493996744404032
1999-04-01,Total España,CONSUMO X CAPITA,OTROS MARISC/MOLUSC,0.04018477240045631
1999-04-01,Total España,CONSUMO X CAPITA,OTROS PESCADOS,0.30360477477260095
1999-04-01,Total España,CONSUMO X CAPITA,OTROS PESCADOS CON,0.06870648238931719
1999-04-01,Total España,CONSUMO X CAPITA,OTROS PESCADOS FRE,0.23489829238328377
1999-04-01,Total España,CONSUMO X CAPITA,PESCADOS,1.0478140181525275
1999-04-01,Total España,CONSUMO X CAPITA,PESCADOS CONGELADOS,0.2283654035446595
1999-04-01,Total España,CONSUMO X CAPITA,PESCADOS FRESCOS,0.819448614607868
1999-04-01,Total España,CONSUMO X CAPITA,PULPO,0.0022310114873761214
1999-04-01,Total España,CONSUMO X CAPITA,PULPO CONGELADO,0.004877800109952983
1999-04-01,Total España,CONSUMO X CAPITA,SALMON,0.03829385107128839
1999-04-01,Total España,CONSUMO X CAPITA,SALMON CONGELADO,0.001983901026069353
1999-04-01,Total España,CONSUMO X CAPITA,SALMON FRESCO,0.03630995004521903
1999-04-01,Total España,CONSUMO X CAPITA,SARDINA/BOQUERON,0.17609327054701712
1999-04-01,Total España,CONSUMO X CAPITA,SARDINAS,0.024630597390231164
1999-04-01,Total España,CONSUMO X CAPITA,TOTAL CARNE,3.428112804644722
1999-04-01,Total España,CONSUMO X CAPITA,TOTAL PESCA,1.7276434677881676
1999-04-01,Total España,CONSUMO X CAPITA,TRUCHA FRESCA,0.03992763717398497
1999-05-01,Total España,CONSUMO X CAPITA,ALMEJAS,0.0028380110180911255
1999-05-01,Total España,CONSUMO X CAPITA,ALMEJAS CONGELADO,9.310500646598844e-4
1999-05-01,Total España,CONSUMO X CAPITA,"ALMEJAS,BERB.FRESC",0.05369314345972085
1999-05-01,Total España,CONSUMO X CAPITA,"ALMEJAS,BERBERECHO",0.05472845108209231
1999-05-01,Total España,CONSUMO X CAPITA,ATUN,0.15569487839014032
1999-05-01,Total España,CONSUMO X CAPITA,ATUN Y BONITO,0.031060481766789442
1999-05-01,Total España,CONSUMO X CAPITA,BACALAO,0.04129752133372411
1999-05-01,Total España,CONSUMO X CAPITA,BACALAO CONGELADO,0.004352753034458377
1999-05-01,Total España,CONSUMO X CAPITA,BACALAO FRESCO,0.03694476829926573
1999-05-01,Total España,CONSUMO X CAPITA,BERBEREC.CONGELADO,1.042575577115779e-4
1999-05-01,Total España,CONSUMO X CAPITA,BERBERECHOS,0.0099829117700127
1999-05-01,Total España,CONSUMO X CAPITA,CABALLA FRESCA,0.013430428510109971
1999-05-01,Total España,CONSUMO X CAPITA,CALAMAR Y PULPO FR,0.12604036993768247
1999-05-01,Total España,CONSUMO X CAPITA,CALAMARES,0.0077348581818568
1999-05-01,Total España,CONSUMO X CAPITA,CALAMARES CONGELAD,0.016240370185740288
1999-05-01,Total España,CONSUMO X CAPITA,"CALAMARES,PULPO",0.14684075517765874
1999-05-01,Total España,CONSUMO X CAPITA,CHICHARRO/CABALLA,0.006326879914492271
1999-05-01,Total España,CONSUMO X CAPITA,CONS.PESCADO/MOLUSCO,0.2641974229106574
1999-05-01,Total España,CONSUMO X CAPITA,GAMBAS/LANG.COCIDO,0.007469201904995569
1999-05-01,Total España,CONSUMO X CAPITA,GAMBAS/LANG.CONG.,0.04152834155163845
1999-05-01,Total España,CONSUMO X CAPITA,GAMBAS/LANG.FRESCO,0.039128162152110124
1999-05-01,Total España,CONSUMO X CAPITA,GAMBAS/LANGOSTINOS,0.08812570560874414
1999-05-01,Total España,CONSUMO X CAPITA,LENGUADO,0.11490862007980952
1999-05-01,Total España,CONSUMO X CAPITA,LENGUADO CONGELADO,0.022006615108403713
1999-05-01,Total España,CONSUMO X CAPITA,LENGUADO FRESCO,0.0929020049714058
1999-05-01,Total España,CONSUMO X CAPITA,MARISCO/MOLUSC COCI,0.015591517260463183
1999-05-01,Total España,CONSUMO X CAPITA,MARISCO/MOLUSC CONG,0.08777884873404986
1999-05-01,Total España,CONSUMO X CAPITA,MARISCO/MOLUSC FRES,0.32219670424682134
1999-05-01,Total España,CONSUMO X CAPITA,MARISCO/MOLUSCO/CRUS,0.4255670702413344
1999-05-01,Total España,CONSUMO X CAPITA,MEJILLON,0.08827632770534188
1999-05-01,Total España,CONSUMO X CAPITA,MEJILLON CONGELADO,0.0028415196858987265
1999-05-01,Total España,CONSUMO X CAPITA,MEJILLON FRESCO,0.08543480801944314
1999-05-01,Total España,CONSUMO X CAPITA,MEJILLONES,0.019939257912339275
1999-05-01,Total España,CONSUMO X CAPITA,MERLUZA/PESCAD,0.33923880502659853
1999-05-01,Total España,CONSUMO X CAPITA,MERLUZA/PESCAD.CON,0.1333554410782727
1999-05-01,Total España,CONSUMO X CAPITA,MERLUZA/PESCAD.FRE,0.2058833639483258
1999-05-01,Total España,CONSUMO X CAPITA,OTRAS CONS.PESCADO,0.0347641312568416
1999-05-01,Total España,CONSUMO X CAPITA,OTROS MARISC.COCI.,0.0026558109112249785
1999-05-01,Total España,CONSUMO X CAPITA,OTROS MARISC.CONG.,0.02157304401503585
1999-05-01,Total España,CONSUMO X CAPITA,OTROS MARISC.FRES.,0.0233667251221074
1999-05-01,Total España,CONSUMO X CAPITA,OTROS MARISC/MOLUSC,0.04759583066749734
1999-05-01,Total España,CONSUMO X CAPITA,OTROS PESCADOS,0.3499011452556403
1999-05-01,Total España,CONSUMO X CAPITA,OTROS PESCADOS CON,0.07020869344922871
1999-05-01,Total España,CONSUMO X CAPITA,OTROS PESCADOS FRE,0.27969245180641156
1999-05-01,Total España,CONSUMO X CAPITA,PESCADOS,1.221394330691915
1999-05-01,Total España,CONSUMO X CAPITA,PESCADOS CONGELADOS,0.2314071679147206
1999-05-01,Total España,CONSUMO X CAPITA,PESCADOS FRESCOS,0.9899869121580651
1999-05-01,Total España,CONSUMO X CAPITA,PULPO,0.0018681149884185138
