date,source,catTL,value
2017-10-01,Mixed,Low,0.6427612766162499
2017-10-01,Mixed,Medium,0.47035132700729
2017-10-01,Wild,High,0.67945047604514
2017-10-01,Wild,Low,0.16665247200257
2017-10-01,Wild,Medium,0.09383083094543
2017-11-01,Farmed,High,0.15620232590259
2017-11-01,Farmed,Low,0.10375980875587999
2017-11-01,Farmed,Medium,0.08545661343977001
2017-11-01,Mixed,Low,0.77007361256871
2017-11-01,Mixed,Medium,0.5475013721698501
2017-11-01,Wild,High,0.67690202175716
2017-11-01,Wild,Low,0.13962065307044
2017-11-01,Wild,Medium,0.09412416718966
2017-12-01,Farmed,High,0.18779593639932998
2017-12-01,Farmed,Low,0.16387667264779998
2017-12-01,Farmed,Medium,0.09905350911808
2017-12-01,Mixed,Low,1.53257620128425
2017-12-01,Mixed,Medium,0.83980419583802
2017-12-01,Wild,High,0.75014279825543
2017-12-01,Wild,Low,0.07406674333496
2017-12-01,Wild,Medium,0.09832210688363
2018-01-01,Farmed,High,0.15603763724439
2018-01-01,Farmed,Low,0.10438781994167
2018-01-01,Farmed,Medium,0.10480484625753
2018-01-01,Mixed,Low,0.66919913499191
2018-01-01,Mixed,Medium,0.44224933740706
2018-01-01,Wild,High,0.7198750882820301
2018-01-01,Wild,Low,0.12240140161649
2018-01-01,Wild,Medium,0.0793361810671
2018-02-01,Farmed,High,0.12121296438199
2018-02-01,Farmed,Low,0.08283051276640001
2018-02-01,Farmed,Medium,0.09592597970691
2018-02-01,Mixed,Low,0.52428444864368
2018-02-01,Mixed,Medium,0.37602070624219003
2018-02-01,Wild,High,0.73798943727329
2018-02-01,Wild,Low,0.12472880383206
2018-02-01,Wild,Medium,0.09381543858252
2018-03-01,Farmed,High,0.12705204566769
2018-03-01,Farmed,Low,0.09964166465583
2018-03-01,Farmed,Medium,0.09891417779473
2018-03-01,Mixed,Low,0.62470383949296
2018-03-01,Mixed,Medium,0.46610966085752
2018-03-01,Wild,High,0.8516247507393
2018-03-01,Wild,Low,0.12025588590818999
2018-03-01,Wild,Medium,0.15927591547382
2018-04-01,Farmed,High,0.12365054402063
2018-04-01,Farmed,Low,0.07209934908839
2018-04-01,Farmed,Medium,0.0906178740042
2018-04-01,Mixed,Low,0.54846019209272
2018-04-01,Mixed,Medium,0.41232353941194
2018-04-01,Wild,High,0.70325336132858
2018-04-01,Wild,Low,0.14605106762048
2018-04-01,Wild,Medium,0.15707619145043
2018-05-01,Farmed,High,0.11084617854591
2018-05-01,Farmed,Low,0.0727183285952
2018-05-01,Farmed,Medium,0.09439850558463
2018-05-01,Mixed,Low,0.55113345584081
2018-05-01,Mixed,Medium,0.41994911808004
2018-05-01,Wild,High,0.70855263348297
2018-05-01,Wild,Low,0.18642163036103998
2018-05-01,Wild,Medium,0.12705402297123
2018-06-01,Farmed,High,0.11960954278161999
2018-06-01,Farmed,Low,0.08421683419343999
2018-06-01,Farmed,Medium,0.09252704682327001
2018-06-01,Mixed,Low,0.57552523369594
2018-06-01,Mixed,Medium,0.44048849193895
2018-06-01,Wild,High,0.72184505063979
2018-06-01,Wild,Low,0.19783059301262002
2018-06-01,Wild,Medium,0.10810891919169001
2018-07-01,Farmed,High,0.11607454388901
2018-07-01,Farmed,Low,0.0850997691527
2018-07-01,Farmed,Medium,0.07337459483599
2018-07-01,Mixed,Low,0.58489982758308
2018-07-01,Mixed,Medium,0.42615891189833
2018-07-01,Wild,High,0.72552846716919
2018-07-01,Wild,Low,0.17004603748857
2018-07-01,Wild,Medium,0.10588438782095
2018-08-01,Farmed,High,0.12470298727757
2018-08-01,Farmed,Low,0.07689364228192
2018-08-01,Farmed,Medium,0.06975323447661
2018-08-01,Mixed,Low,0.5492660636673
2018-08-01,Mixed,Medium,0.38684516674139
2018-08-01,Wild,High,0.63141725241847
2018-08-01,Wild,Low,0.1555449954481
2018-08-01,Wild,Medium,0.08951769160925
2018-09-01,Farmed,High,0.1392210213966
2018-09-01,Farmed,Low,0.09347375447907
2018-09-01,Farmed,Medium,0.08868490254093
2018-09-01,Mixed,Low,0.56621038501211
2018-09-01,Mixed,Medium,0.41002165828388
2018-09-01,Wild,High,0.6468910059685
2018-09-01,Wild,Low,0.1618637809209
2018-09-01,Wild,Medium,0.10041562198553
2018-10-01,Farmed,High,0.15794220899225
2018-10-01,Farmed,Low,0.10607774939459001
2018-10-01,Farmed,Medium,0.10004266304501
2018-10-01,Mixed,Low,0.62622802598376
2018-10-01,Mixed,Medium,0.45707818495311
2018-10-01,Wild,High,0.65654520868007
2018-10-01,Wild,Low,0.15946134504258
2018-10-01,Wild,Medium,0.09604837924581
2018-11-01,Farmed,High,0.16026265810299
2018-11-01,Farmed,Low,0.11271035921731
2018-11-01,Farmed,Medium,0.10380063551117
2018-11-01,Mixed,Low,0.79263655671905
2018-11-01,Mixed,Medium,0.5321097877842
2018-11-01,Wild,High,0.63314961621266
2018-11-01,Wild,Low,0.13569142137765
2018-11-01,Wild,Medium,0.08916523609917
2018-12-01,Farmed,High,0.18987875290201
2018-12-01,Farmed,Low,0.16272728820979
2018-12-01,Farmed,Medium,0.11576984147614
2018-12-01,Mixed,Low,1.51963772624175
2018-12-01,Mixed,Medium,0.82240571550048
2018-12-01,Wild,High,0.73349721089138
2018-12-01,Wild,Low,0.08416926101047
2018-12-01,Wild,Medium,0.09381014941054
2019-01-01,Farmed,High,0.15093110462144
2019-01-01,Farmed,Low,0.09346132621794001
2019-01-01,Farmed,Medium,0.11792957962863
2019-01-01,Mixed,Low,0.6395176042944
2019-01-01,Mixed,Medium,0.41409712865448
2019-01-01,Wild,High,0.69117223116784
2019-01-01,Wild,Low,0.11170560845671
2019-01-01,Wild,Medium,0.08998668225149
2019-02-01,Farmed,High,0.13275402078736
2019-02-01,Farmed,Low,0.08572808591326
2019-02-01,Farmed,Medium,0.09906929284426
2019-02-01,Mixed,Low,0.54990289694873
2019-02-01,Mixed,Medium,0.36269751207446
2019-02-01,Wild,High,0.66029889420257
2019-02-01,Wild,Low,0.13470165382289
2019-02-01,Wild,Medium,0.08652897290855
2019-03-01,Farmed,High,0.1373887706941
2019-03-01,Farmed,Low,0.08226128496116
2019-03-01,Farmed,Medium,0.11030244061899999
2019-03-01,Mixed,Low,0.59588156941643
2019-03-01,Mixed,Medium,0.42644901873476
2019-03-01,Wild,High,0.7444680858954
2019-03-01,Wild,Low,0.14219523285709
2019-03-01,Wild,Medium,0.13850871736575002
2019-04-01,Farmed,High,0.12222238798667999
2019-04-01,Farmed,Low,0.06588361411367
2019-04-01,Farmed,Medium,0.09999792308437
2019-04-01,Mixed,Low,0.60961430994235
2019-04-01,Mixed,Medium,0.42835873580972
2019-04-01,Wild,High,0.73614951931813
2019-04-01,Wild,Low,0.13972458036265
2019-04-01,Wild,Medium,0.14558177771252
2019-05-01,Farmed,High,0.16115223598665
2019-05-01,Farmed,Low,0.050605101993179996
